text,emotion
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
